number,vector,amax
13,"[856213, 715494, 328531, 952584, 205094, 401400, 304559, 870302, 261423, 216723, 931497, 598618, 306280, 357721, 598579, 609721, 508414, 288764, 683980, 971982, 31307, 56905, 502490, 527306]",1048576
14,"[11612, 452783, 581520, 297051, 526450, 169040, 443487, 48863, 23376, 130563, 730284, 141918, 146151, 336956, 830089, 157448, 704986, 562895, 927947, 839412, 438300, 378852, 820927, 816080]",1048576
15,"[59838, 58137, 9582, 207252, 805565, 561307, 318718, 919004, 605350, 880173, 60831, 131115, 1005106, 133476, 608632, 27033, 67079, 548466, 272364, 996523, 597412, 346815, 507520, 1046258]",1048576
16,"[538515, 776993, 37320, 784494, 585000, 1036748, 241953, 299358, 320174, 513219, 147319, 368088, 209866, 303085, 669931, 967383, 38960, 824575, 736512, 787390, 73434, 18929, 742193, 397268]",1048576
17,"[839759, 211023, 443225, 194076, 107356, 958287, 570459, 185431, 597435, 483703, 543616, 483783, 875285, 643158, 235738, 736192, 150918, 201883, 45442, 678238, 939365, 102481, 414936, 971001]",1048576
18,"[1030620, 903884, 742964, 916584, 483733, 876700, 521310, 1027442, 198158, 173080, 223546, 279994, 354771, 812478, 851313, 671706, 723460, 8347, 274864, 615346, 869363, 287088, 262855, 273243]",1048576
19,"[885612, 297747, 78027, 518795, 823721, 691752, 679574, 6570, 210293, 43700, 120367, 15043, 234311, 375070, 938179, 67697, 818556, 722413, 1014794, 744879, 860062, 1046359, 337512, 247083]",1048576
20,"[659737, 290203, 875509, 882721, 533810, 640771, 508808, 226693, 600637, 480811, 234345, 696329, 75008, 107622, 513577, 806823, 985421, 950137, 144765, 17545, 419725, 159217, 564731, 260738]",1048576
21,"[756945, 661513, 631632, 395995, 404295, 579061, 1045390, 931285, 174982, 362100, 211743, 734693, 708387, 97127, 307458, 477950, 685509, 524303, 164366, 131577, 949110, 570836, 657602, 343466]",1048576
22,"[34991, 874126, 3932, 118330, 62227, 609227, 178382, 366366, 582375, 654857, 856946, 632959, 605572, 604413, 6636, 150405, 483633, 365290, 584870, 7357, 1040544, 365361, 141146, 640243]",1048576
23,"[888798, 364569, 67352, 863453, 654735, 77407, 98306, 847341, 893358, 477925, 1042729, 715999, 18206, 140713, 371864, 482287, 683396, 497824, 231657, 400992, 329297, 471007, 24597, 84395]",1048576
24,"[510976, 612831, 972827, 54822, 625298, 1047291, 340858, 677543, 765574, 1008934, 885292, 55567, 270034, 985193, 655380, 661816, 166972, 159400, 990777, 502783, 474840, 567440, 537091, 452113]",1048576
25,"[440972, 387157, 340941, 868621, 1022164, 347669, 100445, 1028216, 128495, 121673, 257766, 1035244, 100037, 221049, 23084, 1025363, 822984, 762476, 30505, 346269, 960418, 819307, 177142, 178884]",1048576
26,"[328197, 203788, 47397, 734142, 148478, 378151, 129382, 69181, 406670, 229122, 204087, 785733, 336431, 976055, 479814, 180642, 513555, 382033, 807229, 165567, 853870, 845548, 24193, 602309]",1048576
27,"[797155, 726333, 390824, 625936, 614342, 632816, 995153, 657239, 130277, 661731, 293, 831352, 858333, 272069, 532452, 1019120, 970007, 921430, 443797, 515483, 16756, 1016191, 805440, 944352]",1048576
28,"[809933, 657773, 925910, 495602, 989660, 794052, 442438, 605879, 888357, 780029, 874426, 100284, 522930, 883157, 378124, 964664, 620599, 541562, 612862, 572409, 901832, 536329, 404538, 197900]",1048576
29,"[1009802, 770339, 320633, 782601, 44906, 905143, 572800, 289381, 1011265, 749742, 754908, 871401, 293117, 279744, 479461, 961399, 578863, 861056, 298541, 274141, 547460, 404388, 513679, 279221]",1048576
30,"[110841, 107383, 922227, 576248, 858382, 972193, 733548, 979849, 808521, 665012, 328065, 1042860, 529418, 760644, 974014, 228635, 53147, 732654, 712454, 622434, 988835, 183009, 344742, 925056]",1048576
31,"[393962, 226558, 1000377, 470521, 285013, 1027113, 267136, 527645, 106920, 456013, 420112, 520813, 285950, 552166, 987377, 282476, 533926, 959493, 405964, 120641, 494335, 1018806, 246520, 870388]",1048576
32,"[154625, 71791, 750000, 101914, 117853, 175766, 322310, 677157, 977540, 758904, 552244, 715723, 897026, 586874, 40406, 246941, 200056, 143940, 18069, 398511, 106707, 107932, 660861, 112400]",1048576
33,"[381808, 187661, 59968, 898431, 386320, 996862, 355553, 946760, 681382, 309778, 159577, 242335, 569834, 1002838, 436865, 593960, 785881, 312858, 774499, 901808, 120018, 529320, 303909, 107627]",1048576
34,"[237640, 479990, 975014, 59850, 674570, 829320, 554028, 1015225, 345504, 623431, 946233, 447487, 836493, 519390, 822866, 843846, 922816, 68885, 673321, 239153, 239397, 673958, 215886, 715019]",1048576
35,"[820742, 867444, 452615, 744049, 680433, 65609, 682488, 717894, 481011, 261694, 983593, 909076, 122456, 252064, 713771, 505994, 680779, 857843, 1041895, 54425, 603123, 91911, 320646, 243521]",1048576
36,"[964541, 662035, 302666, 341401, 830330, 868731, 695153, 693890, 914908, 368938, 960315, 910130, 393295, 281878, 1030791, 697758, 936082, 1892, 21133, 618216, 6461, 619408, 219775, 827753]",1048576
37,"[55996, 594234, 734809, 347270, 443526, 1028883, 529018, 437924, 773114, 330726, 197854, 787025, 535953, 309667, 324879, 626867, 656211, 281698, 1047235, 45392, 522736, 214105, 304768, 692020]",1048576
38,"[424035, 691675, 916839, 1002837, 932251, 551923, 192131, 619964, 826185, 473199, 522452, 736354, 637240, 212516, 310773, 642330, 251210, 504807, 259774, 130895, 698477, 975859, 873940, 796664]",1048576
39,"[541384, 514440, 572588, 572886, 241972, 353565, 1001536, 354907, 387412, 519434, 931849, 6681, 643689, 772183, 381793, 751718, 443620, 30476, 242664, 958069, 96437, 486016, 250721, 536692]",1048576
40,"[988837, 231876, 162827, 907528, 422808, 66859, 36565, 195341, 705152, 563672, 21586, 938078, 268527, 531711, 321037, 1010344, 727580, 508738, 427876, 709990, 850437, 628576, 864515, 280101]",1048576
41,"[147853, 770934, 931878, 307063, 870351, 1012969, 225329, 389967, 603633, 218140, 68031, 498422, 567157, 446645, 984369, 514016, 418469, 238871, 851822, 37267, 146190, 495159, 816485, 751638]",1048576
42,"[451658, 650175, 330446, 795285, 1000609, 123817, 890175, 396059, 1030467, 1036309, 214302, 845400, 776616, 640740, 624769, 27868, 512807, 474788, 547875, 945146, 992440, 192483, 450307, 46107]",1048576
43,"[79769, 947300, 159254, 905768, 401114, 123307, 111792, 81143, 53198, 684855, 106824, 700360, 470629, 964260, 748271, 854246, 298713, 376939, 876747, 385295, 297491, 369791, 880391, 824850]",1048576
44,"[858669, 920016, 518350, 702363, 65852, 354730, 549672, 873546, 404904, 165469, 530078, 427706, 1021540, 943793, 502459, 96008, 73518, 1008027, 827123, 47821, 516088, 286969, 962981, 673863]",1048576
45,"[328580, 13374, 684929, 61141, 13248, 865486, 807582, 704593, 423277, 607868, 607537, 701413, 881915, 199605, 585835, 512051, 145664, 3967, 186474, 95466, 125139, 240466, 603316, 432394]",1048576
46,"[921743, 641632, 455735, 144629, 324018, 747884, 1019459, 31639, 79258, 836903, 942260, 706996, 495985, 725953, 802269, 87235, 688589, 668292, 550603, 204832, 905092, 25203, 3955, 33675]",1048576
47,"[507838, 744221, 136256, 538132, 688371, 843346, 71613, 165966, 429629, 979161, 697653, 176602, 252200, 838794, 176931, 771809, 358804, 994076, 27257, 1001061, 115025, 1013074, 1024911, 637103]",1048576
48,"[195776, 852657, 637174, 507677, 1044685, 919914, 426880, 546976, 397189, 608157, 622019, 469234, 61788, 165442, 263872, 376884, 165661, 105129, 828830, 130691, 578477, 559739, 811643, 557826]",1048576
49,"[380553, 364244, 102123, 14138, 1024553, 595143, 588772, 950817, 564062, 716339, 207866, 58853, 937015, 766648, 529032, 103646, 657234, 624511, 825891, 884051, 493670, 514616, 84303, 683157]",1048576
50,"[290303, 406774, 692596, 26076, 115789, 771251, 355449, 1035160, 918869, 1005731, 64369, 99827, 396726, 792711, 380084, 370036, 989938, 521972, 664365, 696698, 486121, 245056, 569015, 148954]",1048576
