number,vector,amax
19,"[13605781, 14413782, 6610766, 6612297, 8485055, 3010190, 1188691, 12301385, 2197597, 11712192, 13212944, 771690, 7723791, 5253403, 12078858, 747310, 2683950, 1248771, 14722117, 10101340, 4906753, 16305675, 4777993, 13328735]",16777216
20,"[4149426, 1136720, 10299313, 2642298, 12284291, 5318781, 15652558, 394680, 2106144, 9435543, 3332993, 10396551, 13020377, 881124, 2537006, 13707213, 16204833, 11479982, 14219569, 1340802, 10749388, 13756157, 11801226, 10921084]",16777216
21,"[495400, 16243569, 16271486, 15512677, 579864, 15158839, 14581491, 15031192, 7843893, 3106976, 14819433, 9153460, 14750845, 4011734, 3858961, 11489190, 13447214, 3673184, 12433791, 12114959, 10619818, 8208815, 13883212, 6413348]",16777216
22,"[13364289, 734439, 4256520, 10137151, 12174315, 126477, 7601966, 8373538, 4272376, 5559046, 9649655, 15944081, 3117063, 3765088, 55756, 10813692, 15756753, 16762866, 15082669, 6622815, 9364808, 11748833, 181669, 8640026]",16777216
23,"[5033177, 10495086, 6902995, 5169726, 2952143, 10838073, 5849935, 15119704, 224277, 9642671, 16048496, 10113661, 8458094, 12310727, 3858077, 10882746, 1979183, 333606, 14368541, 2372854, 15749166, 4689316, 1475879, 13026376]",16777216
24,"[15678628, 369485, 11433137, 3291872, 11103651, 8385752, 12528980, 12996708, 15280671, 16744015, 145179, 14881664, 11898776, 8221893, 8612178, 12422321, 13199425, 15638554, 16197815, 7794382, 11960282, 851843, 11981064, 13721818]",16777216
25,"[4461369, 2228908, 1778235, 5544711, 12730282, 8732484, 8148445, 12832440, 1940434, 13550695, 5652260, 5756890, 6559132, 1573296, 15279575, 4646208, 11842054, 1634511, 7098008, 9445259, 15035172, 693319, 14208141, 13427855]",16777216
26,"[6048714, 10459936, 16145760, 12360243, 912804, 5698773, 15076221, 13762623, 5835441, 9215171, 16252815, 9238221, 15908162, 4859744, 3000779, 1747672, 923251, 4558171, 3482208, 8930586, 7689370, 3242056, 13489487, 14699409]",16777216
27,"[4494059, 10835765, 6084750, 14841588, 11659000, 16273613, 1347744, 7362222, 2937740, 14087766, 745706, 12135213, 1266170, 8713731, 6276310, 13069129, 3512613, 16598339, 7392635, 5567443, 10030135, 14611101, 13368198, 2264734]",16777216
28,"[6661493, 827187, 12466498, 14990673, 13550035, 13679570, 1321553, 12341426, 5823667, 7732550, 6916044, 3483125, 35591, 8528132, 9406468, 15021424, 1640699, 3339447, 5337323, 12858253, 13438650, 8809694, 6980429, 3083043]",16777216
29,"[8360063, 16173750, 1499346, 7112311, 10276573, 8111132, 3579060, 8971316, 15182583, 15233512, 13587059, 16589526, 3911854, 6500927, 11784233, 1090450, 13772503, 312547, 6762612, 7070744, 14701905, 13209117, 14456880, 3331381]",16777216
30,"[9412182, 1984505, 7808419, 16238151, 12629351, 16398918, 13048534, 13018925, 13396751, 15147544, 11818748, 7236767, 11198638, 5752951, 10918084, 13398643, 12864499, 12655991, 1006874, 183410, 2501636, 13782366, 16583592, 2875202]",16777216
31,"[14855078, 1861906, 16632152, 10381858, 8085639, 11310145, 9432579, 1184519, 5599181, 16585031, 11329531, 13311245, 139598, 15850473, 1668439, 6028057, 2331361, 15379685, 2360168, 13027585, 1345949, 11143926, 16474991, 8971326]",16777216
32,"[1609216, 7688081, 2808709, 10319743, 3191029, 9834456, 575305, 1811648, 12061103, 2182203, 11213526, 3381453, 3627044, 11121180, 7917562, 14675018, 5739203, 8759004, 7146446, 10559393, 2072678, 840803, 859343, 7473570]",16777216
33,"[9174474, 12555770, 13162076, 14562823, 11478777, 14764269, 16317116, 14045945, 13006522, 15013118, 15553908, 7173504, 3815958, 12238319, 11191978, 1049706, 16104401, 3890024, 6724916, 15417297, 16692304, 6644997, 13452868, 15616030]",16777216
34,"[6090444, 11680411, 16376041, 14162696, 11949472, 12011448, 6618740, 16122007, 14251935, 14161063, 6763559, 13867027, 7694909, 187530, 12269880, 1740200, 10287323, 15574022, 1368933, 3492817, 14327378, 16567795, 10451748, 876628]",16777216
35,"[7651502, 10237355, 13061366, 14675346, 1980774, 8526439, 373594, 6748876, 11023074, 6726763, 10623952, 1472815, 2830097, 5272701, 2617612, 667374, 12250214, 11298152, 16476411, 3865116, 9675776, 13864631, 3294271, 2508866]",16777216
36,"[8448347, 5597827, 1400083, 10325031, 8536055, 1314851, 9980568, 14399961, 951162, 3485043, 8627766, 14886747, 7866114, 5166361, 13324494, 13311720, 10651166, 5901198, 6966502, 7695297, 4259356, 5152802, 12779134, 10611137]",16777216
37,"[558555, 1859905, 3430757, 8733124, 3417662, 16070246, 6150514, 5694698, 5944172, 11841135, 7116273, 569273, 355125, 1681956, 2875572, 13336661, 16191967, 12342444, 6045939, 10385280, 11483305, 11890535, 7389000, 12648881]",16777216
38,"[8724215, 6281964, 15529480, 2624572, 14787614, 6288120, 10914662, 2970691, 3470181, 13520691, 13426106, 16185874, 9289310, 13505337, 10010021, 9453741, 9449697, 9498643, 3420989, 4503719, 4640787, 10502, 4067795, 8474156]",16777216
39,"[3759634, 9977470, 5681045, 5052181, 1248572, 16429580, 10286693, 4882102, 276236, 8899007, 7285109, 6075818, 2807669, 2298215, 15666709, 13245516, 9646733, 13512545, 1198352, 9656808, 1328501, 11379447, 4757801, 15047081]",16777216
40,"[11623745, 5165719, 11023526, 3042267, 6615822, 10588259, 12776716, 16649527, 628130, 13795599, 16523195, 9462608, 10780073, 11233674, 8191632, 13875595, 10420330, 5719156, 690006, 29283, 8401488, 2209558, 10404767, 15182975]",16777216
41,"[9364681, 714231, 9559953, 4196419, 14628805, 12094529, 9252697, 336165, 13234162, 38364, 6246308, 14247098, 15250931, 14201163, 14983821, 6321824, 1682917, 4637617, 9946178, 6775960, 9610355, 1324429, 4199516, 1149530]",16777216
42,"[16556165, 2199429, 8029637, 7689901, 14200222, 11027982, 10653439, 13342821, 14057501, 8635033, 3123546, 8833242, 6947235, 13757482, 8541414, 14890441, 4083127, 1877428, 11810097, 1576394, 2184132, 11112344, 13390235, 6660340]",16777216
43,"[13828113, 14788289, 11555211, 9072310, 11367842, 12355818, 16725166, 11570024, 1515211, 1341631, 7022962, 12944882, 12656588, 13720051, 2699227, 15638349, 3972597, 13512928, 5748781, 1416076, 5294079, 10791468, 14501312, 3871771]",16777216
44,"[11010805, 11275387, 6430210, 10680078, 13136778, 7826701, 10528764, 3359213, 239546, 572564, 6839259, 12684681, 328105, 7447239, 16148559, 4182250, 14664969, 8543742, 16508314, 1906223, 16744942, 16082315, 5999213, 7151310]",16777216
45,"[9006061, 15304994, 13651942, 6063496, 15245592, 12897001, 15698420, 11244042, 9776167, 12500156, 6739728, 12141969, 2994593, 5426716, 4615613, 9519367, 14204234, 14010842, 9246119, 7656689, 8778560, 10182588, 11433090, 13685778]",16777216
46,"[3576507, 14924972, 8409533, 12331396, 8060404, 9271439, 15620841, 7844830, 5911804, 16348516, 9036797, 13180379, 15856472, 14527310, 7356128, 5509369, 11655984, 4211878, 11629817, 14120219, 15130248, 7864641, 15135857, 5476362]",16777216
47,"[11313686, 2262398, 3711215, 15043411, 8634370, 12221143, 2185638, 13058246, 701658, 10522370, 10665598, 6979210, 16400982, 9577625, 6252226, 1989686, 12170846, 10377656, 367035, 9902590, 10771727, 4319316, 9962496, 11535544]",16777216
48,"[7043767, 2689026, 12502033, 5490586, 1549677, 6179728, 4103747, 10181312, 9432087, 2525951, 13128856, 10528903, 6108194, 1032982, 914836, 13607791, 7757018, 3549563, 14034959, 14696657, 3635701, 12093045, 14808956, 8728957]",16777216
49,"[2893035, 11033039, 12431694, 13475171, 108868, 3214741, 2942057, 10451244, 14769788, 1958786, 3634592, 323724, 13540917, 10082232, 4839418, 14658813, 1061722, 722794, 15040834, 12558902, 6740147, 13952411, 4263636, 11478834]",16777216
50,"[12639432, 12712822, 14144918, 5227899, 1166963, 6115541, 9801843, 11952992, 13567575, 4897910, 13293656, 14374733, 2893324, 10547416, 4371234, 12878289, 10656025, 14930168, 2705013, 15519491, 2170151, 609029, 9740790, 11664193]",16777216
