number,vector,amax
24,[10231493 106167506 208876773 180235513 51824098 94315017 272144839 936907745 798312849 248893811 770231990 704563125 959213127 732392146 850909610 564006726 323656605 932426278 664550529 246049342 236783426 513382991 484347498 420497585],1073741824
25,[142839861 172492742 452081325 129371587 147874498 198712255 528091482 37076543 696527430 34585409 615327793 157719081 991891395 758181372 112918984 340113395 145634390 577919590 941497824 554268094 258056226 81646270 347794038 946004192],1073741824
26,[45394961 986215475 326939601 884135237 309137128 840669483 113342419 375967631 506414473 97683052 526154253 121458441 786250555 66386748 222537957 455913222 255534295 703550069 904186873 420229163 544096807 926713370 1035866882 966257294],1073741824
27,[795710792 289097021 485708011 446366019 974704493 678617201 199100549 876400789 755253296 169941201 353693089 271208059 744087313 1024586137 270696424 665283772 541886804 82736671 287890832 1073186317 683156566 38469857 403817833 943208482],1073741824
28,[26745453 446109760 105768948 662938180 997072316 405323167 754863214 796464583 124087819 21992943 735901438 784585597 820800485 296931335 335636456 1041989111 31983355 422051599 918311640 1010718581 676052055 37485826 110591355 744027296],1073741824
29,[140565127 870284623 853847606 851491157 901487533 127941506 929556880 236805072 468256644 832415228 122791081 405964586 632456633 775063941 751878220 893414484 338589443 379700593 1041542873 411991850 442079605 766224319 762383273 847128694],1073741824
30,[194496868 568223945 208710449 954099298 927095195 212372696 773702706 340790187 928743131 912283475 923934960 26723016 398951237 503950651 873283918 14201382 335880139 752841188 1003667322 309905452 977666539 778416376 176389989 827436329],1073741824
31,[700924666 461194955 306810710 320108678 559018555 377334691 936700151 636979332 1008360598 499132675 715525892 466836505 787947557 614553047 102773791 810104945 614610175 221566276 452502696 383770374 746392004 1049042025 734804898 387527991],1073741824
32,[614624674 205610318 274106403 457155684 865524656 731286873 519129568 209599573 503182764 781441212 933107915 184184745 719326700 960861993 994313861 975803627 874583715 880617386 90006923 255314132 897853074 1029779272 4045397 951563963],1073741824
33,[170732851 116326438 452353252 170124306 822825561 487095744 803868688 20672204 45922313 371919246 88087049 494701998 491985239 340399103 483416179 57240673 239237042 422068697 427356434 1070776064 509256457 116504903 867000887 941483629],1073741824
34,[395468749 718210752 47566986 961119904 208899794 124404710 372879784 443448377 654211844 224348609 691081375 564028486 176606991 230282412 793355699 509273245 794393293 872502915 840085380 199717127 566479730 571580268 1023360306 844564939],1073741824
35,[186239175 604066230 416428081 685277137 666062092 275659307 99454063 379738280 778342328 181345274 296838301 126900207 54975261 1008596890 206522387 1040704821 652383191 717683679 578179307 378990452 577826474 107379558 482494670 817373953],1073741824
36,[993879576 405908664 681304991 98371121 649012701 1050879217 583367514 446139781 466184087 992387792 220858081 252757926 1061878088 904449792 921793462 233515947 777976441 237461505 240290754 236462852 625346348 494546042 297136221 154385168],1073741824
37,[780779607 1017879280 892828939 560617259 808000798 948699986 864192782 138284336 650386831 720461191 1058520993 711392619 441505439 950585677 406563253 49476335 469007422 635549378 464062079 462010507 220365881 242899671 1029742961 416882581],1073741824
38,[345829480 598939112 902444379 950804733 888133340 43847753 867840308 393911951 782863253 643203468 561577066 80218450 540901269 393302848 711329030 402750431 512590044 286447845 522200686 234635255 527250451 752186307 949452954 903210317],1073741824
39,[1037303551 485161687 290400112 501257728 898774325 939592326 401809962 191499725 78627431 7671914 667910241 131586768 408910907 506691047 784670980 337916682 560808833 272140867 769447841 193759191 1059472451 306630149 930632003 66124257],1073741824
40,[546724821 322807882 381594055 804706047 179107927 28329399 373922544 711931565 305120946 800616202 482665017 258515006 10485672 729237834 978502451 931611751 371916698 763520985 132530791 231246709 100921990 747458164 437577339 1039727218],1073741824
41,[970322755 330580859 316434141 538996778 776541322 329257789 110284421 797452241 422233566 1015775647 110089943 784667632 23190880 226728020 570908977 317351007 1044399905 503294987 10788875 992543971 620486882 608287106 21006809 689163255],1073741824
42,[1048962050 232671593 114848760 825741888 925698839 927845344 1060293853 829077533 266687734 226857817 836923064 454591362 625668390 814313203 874197042 1035772711 728339095 404738829 132290224 744865908 694585226 876264470 716447809 795628621],1073741824
43,[676795073 16426758 631900167 290339372 769195243 928957234 132234121 939329970 365944217 338317391 304850826 1026640092 263520992 620476681 366457493 553411966 139625229 322710098 906731252 415527861 57650785 877437255 264213159 110598775],1073741824
44,[353588230 43477674 1051721838 719493395 692612927 765894812 468370293 827349600 237347326 832523682 622625347 384825012 879575001 661858509 723777368 877995874 861182082 427674828 167841007 673444490 931720111 887439843 454335871 592703627],1073741824
45,[229259069 311118813 862355188 547701232 72173151 455881777 704058102 212507546 499080960 549808381 1000552800 394554587 71747003 787817046 368933122 890166037 33725938 456546210 64774561 24114885 496387198 302646529 678107180 786438316],1073741824
46,[875103635 213159783 567994170 194526161 196455290 125073275 832506738 485322684 588708445 1068952485 619161555 839376502 714688126 785928699 456010842 462966504 318129721 24762210 991155316 375953937 1062194769 1013390649 495988661 588448140],1073741824
47,[908828473 692143013 61189284 32639096 153444711 140028245 39054635 572167150 657814038 656268409 763209461 822819102 5662358 336892561 1065019754 268204914 36925585 520667067 905464476 467610844 720276318 345343345 549064428 10749168],1073741824
48,[389440951 875323906 548568307 82511033 1060955457 842918878 251397586 322164664 736191359 884428853 994672320 301043945 714491456 144128768 744535065 459845174 567933583 305535907 505371642 293098443 212841916 634797044 1007977149 469638281],1073741824
49,[6630049 1049696830 72464207 80287589 798164771 684800751 25568123 1039974453 523050086 554706252 779174624 954268477 1045119750 86536355 980755497 592411332 642805761 479353419 274024768 447048368 812610595 318069055 957309573 1034985635],1073741824
50,[261434884 103398748 532497187 758984112 748018245 1011597948 98942067 18550991 1961235 415643051 614533273 438274610 699969983 353123983 976668869 24595568 226085134 693955223 165390995 586059812 889768140 521829891 846804441 930305369],1073741824
